From;lastverlauf
06.10.2025 11:20;13,21750737
06.10.2025 11:21;13,21750737
06.10.2025 11:22;13,21750737
06.10.2025 11:23;13,21750737
06.10.2025 11:24;13,21750737
06.10.2025 11:25;13,21750737
06.10.2025 11:26;13,21750737
06.10.2025 11:27;13,21750737
06.10.2025 11:28;13,21750737
06.10.2025 11:29;13,21750737
06.10.2025 11:30;53,32852165
06.10.2025 11:31;53,32852165
06.10.2025 11:32;53,32852165
06.10.2025 11:33;53,32852165
06.10.2025 11:34;53,32852165
06.10.2025 11:35;53,32852165
06.10.2025 11:36;53,32852165
06.10.2025 11:37;53,32852165
06.10.2025 11:38;53,32852165
06.10.2025 11:39;53,32852165
06.10.2025 11:40;42,20237497
06.10.2025 11:41;42,20237497
06.10.2025 11:42;42,20237497
06.10.2025 11:43;42,20237497
06.10.2025 11:44;42,20237497
06.10.2025 11:45;42,20237497
06.10.2025 11:46;42,20237497
06.10.2025 11:47;42,20237497
06.10.2025 11:48;42,20237497
06.10.2025 11:49;42,20237497
06.10.2025 11:50;44,18037828
06.10.2025 11:51;44,18037828
06.10.2025 11:52;44,18037828
06.10.2025 11:53;44,18037828
06.10.2025 11:54;44,18037828
06.10.2025 11:55;44,18037828
06.10.2025 11:56;44,18037828
06.10.2025 11:57;44,18037828
06.10.2025 11:58;44,18037828
06.10.2025 11:59;44,18037828
06.10.2025 12:00;56,2152187
06.10.2025 12:01;56,2152187
06.10.2025 12:02;56,2152187
06.10.2025 12:03;56,2152187
06.10.2025 12:04;56,2152187
06.10.2025 12:05;56,2152187
06.10.2025 12:06;56,2152187
06.10.2025 12:07;56,2152187
06.10.2025 12:08;56,2152187
06.10.2025 12:09;56,2152187
06.10.2025 12:10;57,23070225
06.10.2025 12:11;57,23070225
06.10.2025 12:12;57,23070225
06.10.2025 12:13;57,23070225
06.10.2025 12:14;57,23070225
06.10.2025 12:15;57,23070225
06.10.2025 12:16;57,23070225
06.10.2025 12:17;57,23070225
06.10.2025 12:18;57,23070225
06.10.2025 12:19;57,23070225
06.10.2025 12:20;58,0908722
06.10.2025 12:21;58,0908722
06.10.2025 12:22;58,0908722
06.10.2025 12:23;58,0908722
06.10.2025 12:24;58,0908722
06.10.2025 12:25;58,0908722
06.10.2025 12:26;58,0908722
06.10.2025 12:27;58,0908722
06.10.2025 12:28;58,0908722
06.10.2025 12:29;58,0908722
06.10.2025 12:30;53,56838035
06.10.2025 12:31;53,56838035
06.10.2025 12:32;53,56838035
06.10.2025 12:33;53,56838035
06.10.2025 12:34;53,56838035
06.10.2025 12:35;53,56838035
06.10.2025 12:36;53,56838035
06.10.2025 12:37;53,56838035
06.10.2025 12:38;53,56838035
06.10.2025 12:39;53,56838035
06.10.2025 12:40;59,83175365
06.10.2025 12:41;59,83175365
06.10.2025 12:42;59,83175365
06.10.2025 12:43;59,83175365
06.10.2025 12:44;59,83175365
06.10.2025 12:45;59,83175365
06.10.2025 12:46;59,83175365
06.10.2025 12:47;59,83175365
06.10.2025 12:48;59,83175365
06.10.2025 12:49;59,83175365
06.10.2025 12:50;61,05247905
06.10.2025 12:51;61,05247905
06.10.2025 12:52;61,05247905
06.10.2025 12:53;61,05247905
06.10.2025 12:54;61,05247905
06.10.2025 12:55;61,05247905
06.10.2025 12:56;61,05247905
06.10.2025 12:57;61,05247905
06.10.2025 12:58;61,05247905
06.10.2025 12:59;61,05247905
06.10.2025 13:00;29,75967846
06.10.2025 13:01;29,75967846
06.10.2025 13:02;29,75967846
06.10.2025 13:03;29,75967846
06.10.2025 13:04;29,75967846
06.10.2025 13:05;29,75967846
06.10.2025 13:06;29,75967846
06.10.2025 13:07;29,75967846
06.10.2025 13:08;29,75967846
06.10.2025 13:09;29,75967846
06.10.2025 13:10;18,00226034
06.10.2025 13:11;18,00226034
06.10.2025 13:12;18,00226034
06.10.2025 13:13;18,00226034
06.10.2025 13:14;18,00226034
06.10.2025 13:15;18,00226034
06.10.2025 13:16;18,00226034
06.10.2025 13:17;18,00226034
06.10.2025 13:18;18,00226034
06.10.2025 13:19;18,00226034
06.10.2025 13:20;17,59614865
06.10.2025 13:21;17,59614865
06.10.2025 13:22;17,59614865
06.10.2025 13:23;17,59614865
06.10.2025 13:24;17,59614865
06.10.2025 13:25;17,59614865
06.10.2025 13:26;17,59614865
06.10.2025 13:27;17,59614865
06.10.2025 13:28;17,59614865
06.10.2025 13:29;17,59614865
06.10.2025 13:30;16,85896607
06.10.2025 13:31;16,85896607
06.10.2025 13:32;16,85896607
06.10.2025 13:33;16,85896607
06.10.2025 13:34;16,85896607
06.10.2025 13:35;16,85896607
06.10.2025 13:36;16,85896607
06.10.2025 13:37;16,85896607
06.10.2025 13:38;16,85896607
06.10.2025 13:39;16,85896607
06.10.2025 13:40;17,68740025
06.10.2025 13:41;17,68740025
06.10.2025 13:42;17,68740025
06.10.2025 13:43;17,68740025
06.10.2025 13:44;17,68740025
06.10.2025 13:45;17,68740025
06.10.2025 13:46;17,68740025
06.10.2025 13:47;17,68740025
06.10.2025 13:48;17,68740025
06.10.2025 13:49;17,68740025
06.10.2025 13:50;16,92611733
06.10.2025 13:51;16,92611733
06.10.2025 13:52;16,92611733
06.10.2025 13:53;16,92611733
06.10.2025 13:54;16,92611733
06.10.2025 13:55;16,92611733
06.10.2025 13:56;16,92611733
06.10.2025 13:57;16,92611733
06.10.2025 13:58;16,92611733
06.10.2025 13:59;16,92611733
06.10.2025 14:00;16,91375866
06.10.2025 14:01;16,91375866
06.10.2025 14:02;16,91375866
