From;HKK_HWV.300.ThHy_P.WMZ300
26.09.2025 11:30;26,43501473
26.09.2025 11:31;26,43501473
26.09.2025 11:32;26,43501473
26.09.2025 11:33;26,43501473
26.09.2025 11:34;26,43501473
26.09.2025 11:35;26,43501473
26.09.2025 11:36;26,43501473
26.09.2025 11:37;26,43501473
26.09.2025 11:38;26,43501473
26.09.2025 11:39;26,43501473
26.09.2025 11:40;106,6570433
26.09.2025 11:41;106,6570433
26.09.2025 11:42;106,6570433
26.09.2025 11:43;106,6570433
26.09.2025 11:44;106,6570433
26.09.2025 11:45;106,6570433
26.09.2025 11:46;106,6570433
26.09.2025 11:47;106,6570433
26.09.2025 11:48;106,6570433
26.09.2025 11:49;106,6570433
26.09.2025 11:50;84,40474993
26.09.2025 11:51;84,40474993
26.09.2025 11:52;84,40474993
26.09.2025 11:53;84,40474993
26.09.2025 11:54;84,40474993
26.09.2025 11:55;84,40474993
26.09.2025 11:56;84,40474993
26.09.2025 11:57;84,40474993
26.09.2025 11:58;84,40474993
26.09.2025 11:59;84,40474993
26.09.2025 12:00;88,36075656
26.09.2025 12:01;88,36075656
26.09.2025 12:02;88,36075656
26.09.2025 12:03;88,36075656
26.09.2025 12:04;88,36075656
26.09.2025 12:05;88,36075656
26.09.2025 12:06;88,36075656
26.09.2025 12:07;88,36075656
26.09.2025 12:08;88,36075656
26.09.2025 12:09;88,36075656
26.09.2025 12:10;112,4304374
26.09.2025 12:11;112,4304374
26.09.2025 12:12;112,4304374
26.09.2025 12:13;112,4304374
26.09.2025 12:14;112,4304374
26.09.2025 12:15;112,4304374
26.09.2025 12:16;112,4304374
26.09.2025 12:17;112,4304374
26.09.2025 12:18;112,4304374
26.09.2025 12:19;112,4304374
26.09.2025 12:20;114,4614045
26.09.2025 12:21;114,4614045
26.09.2025 12:22;114,4614045
26.09.2025 12:23;114,4614045
26.09.2025 12:24;114,4614045
26.09.2025 12:25;114,4614045
26.09.2025 12:26;114,4614045
26.09.2025 12:27;114,4614045
26.09.2025 12:28;114,4614045
26.09.2025 12:29;114,4614045
26.09.2025 12:30;116,1817444
26.09.2025 12:31;116,1817444
26.09.2025 12:32;116,1817444
26.09.2025 12:33;116,1817444
26.09.2025 12:34;116,1817444
26.09.2025 12:35;116,1817444
26.09.2025 12:36;116,1817444
26.09.2025 12:37;116,1817444
26.09.2025 12:38;116,1817444
26.09.2025 12:39;116,1817444
26.09.2025 12:40;107,1367607
26.09.2025 12:41;107,1367607
26.09.2025 12:42;107,1367607
26.09.2025 12:43;107,1367607
26.09.2025 12:44;107,1367607
26.09.2025 12:45;107,1367607
26.09.2025 12:46;107,1367607
26.09.2025 12:47;107,1367607
26.09.2025 12:48;107,1367607
26.09.2025 12:49;107,1367607
26.09.2025 12:50;119,6635073
26.09.2025 12:51;119,6635073
26.09.2025 12:52;119,6635073
26.09.2025 12:53;119,6635073
26.09.2025 12:54;119,6635073
26.09.2025 12:55;119,6635073
26.09.2025 12:56;119,6635073
26.09.2025 12:57;119,6635073
26.09.2025 12:58;119,6635073
26.09.2025 12:59;119,6635073
26.09.2025 13:00;122,1049581
26.09.2025 13:01;122,1049581
26.09.2025 13:02;122,1049581
26.09.2025 13:03;122,1049581
26.09.2025 13:04;122,1049581
26.09.2025 13:05;122,1049581
26.09.2025 13:06;122,1049581
26.09.2025 13:07;122,1049581
26.09.2025 13:08;122,1049581
26.09.2025 13:09;122,1049581
26.09.2025 13:10;59,51935692
26.09.2025 13:11;59,51935692
26.09.2025 13:12;59,51935692
26.09.2025 13:13;59,51935692
26.09.2025 13:14;59,51935692
26.09.2025 13:15;59,51935692
26.09.2025 13:16;59,51935692
26.09.2025 13:17;59,51935692
26.09.2025 13:18;59,51935692
26.09.2025 13:19;59,51935692
26.09.2025 13:20;36,00452067
26.09.2025 13:21;36,00452067
26.09.2025 13:22;36,00452067
26.09.2025 13:23;36,00452067
26.09.2025 13:24;36,00452067
26.09.2025 13:25;36,00452067
26.09.2025 13:26;36,00452067
26.09.2025 13:27;36,00452067
26.09.2025 13:28;36,00452067
26.09.2025 13:29;36,00452067
26.09.2025 13:30;35,1922973
26.09.2025 13:31;35,1922973
26.09.2025 13:32;35,1922973
26.09.2025 13:33;35,1922973
26.09.2025 13:34;35,1922973
26.09.2025 13:35;35,1922973
26.09.2025 13:36;35,1922973
26.09.2025 13:37;35,1922973
26.09.2025 13:38;35,1922973
26.09.2025 13:39;35,1922973
